country_id,month_id,country,gwcode,isoab,year,month,surrogate_mean_dem_ln,surrogate_mean_imr,surrogate_mean_pop_ln,surrogate_mean_imr_ln,surrogate_mean_pop,main_mean,main_dich,surrogate_mean_dem,surrogate_mean_nch_ln,surrogate_mean_ch,main_mean_ln,surrogate_mean_ch_ln,surrogate_mean_nch
38,548,Ireland,205,IRL,2025,8,-0.016,0.0954,0.2364,0.0911,0.2667,0.0016,0.003,-0.0159,0.0993,0.073,0.0016,0.0705,0.1044
39,548,United Kingdom,200,GBR,2025,8,0.0494,0.1087,1.5607,0.1032,3.7622,0.0041,0.0031,0.0506,0.0993,0.073,0.0041,0.0705,0.1044
40,548,Cape Verde,402,CPV,2025,8,0.1261,0.2985,0.0954,0.2612,0.1001,0.0024,0.003,0.1344,0.0993,0.073,0.0024,0.0705,0.1044
41,548,Cote d'Ivoire,437,CIV,2025,8,1.2574,3.0372,0.9021,1.3956,1.4648,0.0155,0.0031,2.5161,1.0555,0.073,0.0154,0.0705,1.8735
42,548,Ghana,452,GHA,2025,8,0.1343,1.1352,0.9558,0.7586,1.6008,0.1172,0.0037,0.1437,1.061,0.073,0.1109,0.0705,1.8891
43,548,Liberia,450,LBR,2025,8,0.5017,4.0138,0.243,1.6122,0.2751,0.0038,0.0031,0.6515,0.098,0.073,0.0038,0.0705,0.103
45,548,Portugal,235,PRT,2025,8,0.0504,0.0783,0.384,0.0754,0.4681,0.0021,0.003,0.0517,0.0993,0.073,0.0021,0.0705,0.1044
46,548,Spain,230,ESP,2025,8,0.0567,0.0783,1.2378,0.0754,2.448,0.0023,0.003,0.0583,0.0993,0.073,0.0023,0.0705,0.1044
47,548,Burkina Faso,439,BFA,2025,8,1.2683,2.7843,0.7107,1.3309,1.0353,191.7509,0.9771,2.5548,2.1842,264.7088,5.2614,5.5824,7.8832
48,548,Guinea,438,GIN,2025,8,0.985,5.8967,0.4915,1.931,0.6347,0.015,0.0031,1.6777,0.3422,0.073,0.0149,0.0705,0.4081
49,548,Guinea-Bissau,404,GNB,2025,8,1.3261,2.561,0.1448,1.27,0.1558,0.0063,0.0031,2.7663,0.0971,0.073,0.0063,0.0705,0.1019
50,548,Mali,432,MLI,2025,8,1.3214,5.0026,0.7327,1.7922,1.0807,106.2591,0.9379,2.7488,1.6817,132.4341,4.6752,4.8936,4.3748
52,548,Senegal,433,SEN,2025,8,0.2739,1.2797,0.5872,0.8241,0.799,0.012,0.0031,0.315,0.6286,0.073,0.012,0.0705,0.8749
53,548,Sierra Leone,451,SLE,2025,8,0.7965,4.7085,0.3277,1.742,0.3878,0.0031,0.003,1.2177,0.0992,0.073,0.0031,0.0705,0.1043
